[eval]        default frozen:  90.0% +/- 3.3 (13.2s)
[eval]        default  adapt:  90.0% +/- 10.0 (17.6s)
[eval]       low_mass frozen:  96.7% +/- 3.3 (9.2s)
[eval]       low_mass  adapt: 100.0% +/- 0.0 (6.7s)
[eval]   high_damping frozen:  53.3% +/- 6.7 (25.6s)
[eval]   high_damping  adapt:  63.3% +/- 3.3 (30.1s)
[eval]           blur frozen:  80.0% +/- 6.7 (10.3s)
[eval]           blur  adapt:  83.3% +/- 3.3 (13.3s)
[eval]            snp frozen:  90.0% +/- 10.0 (9.5s)
[eval]            snp  adapt:  93.3% +/- 6.7 (12.4s)
[eval]           dark frozen:  70.0% +/- 3.3 (14.0s)
[eval]           dark  adapt:  83.3% +/- 3.3 (18.8s)
[eval]      red_agent frozen:  20.0% +/- 0.0 (25.4s)
[eval]      red_agent  adapt:  33.3% +/- 6.7 (33.5s)
wrote runs/suite_cem.json
[eval]        default frozen:  70.0% +/- 3.3 (212.5s)
[eval]        default  adapt:  66.7% +/- 0.0 (177.2s)
[eval]   high_damping frozen:  13.3% +/- 0.0 (5276.9s)
[eval]   high_damping  adapt:  26.7% +/- 6.7 (366.7s)
[eval]      red_agent frozen:  13.3% +/- 0.0 (354.0s)
[eval]      red_agent  adapt:  23.3% +/- 3.3 (320.0s)
wrote runs/suite_gd.json
[train] step=600 epoch=9 loss=0.8893 pred=0.0961 embed_std=0.002
[train] step=700 epoch=10 loss=0.8833 pred=0.0876 embed_std=0.002
{
  "checkpoint": "runs/base_l0_lowdata.pt",
  "steps": 780,
  "final": {
    "step": 700,
    "epoch": 10,
    "loss": 0.88326,
    "pred_loss": 0.08758,
    "var_loss": 0.78952,
    "cov_loss": 0.15405,
    "embed_std": 0.00186,
    "elapsed_s": 16.5
  },
  "elapsed_s": 18.5
}
[eval]        default frozen:   3.3% +/- 3.3 (21.5s)
[eval]        default  adapt:   0.0% +/- 0.0 (30.8s)
[eval]   high_damping frozen:   0.0% +/- 0.0 (22.9s)
[eval]   high_damping  adapt:   0.0% +/- 0.0 (30.6s)
[eval]      red_agent frozen:   0.0% +/- 0.0 (23.4s)
[eval]      red_agent  adapt:   0.0% +/- 0.0 (30.1s)
wrote runs/suite_lowdata.json
[sweep]                       frozen:  20.0% +/- 0.0
[sweep]        predlast+enclast@x0.2:  10.0% +/- 0.0
[sweep]          predlast+enclast@x1:  40.0% +/- 0.0
[sweep]          predlast+enclast@x5:  40.0% +/- 0.0
[sweep]       predfirst+enclast@x0.2:  20.0% +/- 0.0
[sweep]         predfirst+enclast@x1:  10.0% +/- 0.0
[sweep]         predfirst+enclast@x5:  20.0% +/- 0.0
[sweep]                predlast@x0.2:  30.0% +/- 0.0
[sweep]                  predlast@x1:  40.0% +/- 0.0
[sweep]                  predlast@x5:  30.0% +/- 0.0
[sweep]                 enclast@x0.2:  10.0% +/- 0.0
[sweep]                   enclast@x1:  20.0% +/- 0.0
[sweep]                   enclast@x5:   0.0% +/- 0.0
[sweep]                     all@x0.2:  30.0% +/- 0.0
[sweep]                       all@x1:  10.0% +/- 0.0
[sweep]                       all@x5:  30.0% +/- 0.0
wrote runs/ablation_red_agent.json
ALL_DONE
